x,y,z,vx,vy,vz,mass
-0.236485,0.376906,0.000000,-8.094338,-4.899467,0.000000,1.000000e-12
-0.235859,0.377642,0.000000,-8.101645,-4.881392,0.000000,1.000000e-12
-0.235232,0.378377,0.000000,-8.108898,-4.863316,0.000000,1.000000e-12
-0.234605,0.379110,0.000000,-8.116089,-4.845288,0.000000,1.000000e-12
-0.233977,0.379840,0.000000,-8.123237,-4.827274,0.000000,1.000000e-12
-0.233348,0.380569,0.000000,-8.130320,-4.809275,0.000000,1.000000e-12
-0.232719,0.381297,0.000000,-8.137362,-4.791286,0.000000,1.000000e-12
-0.232089,0.382022,0.000000,-8.144333,-4.773355,0.000000,1.000000e-12
-0.231458,0.382747,0.000000,-8.151267,-4.755397,0.000000,1.000000e-12
-0.230827,0.383468,0.000000,-8.158136,-4.737491,0.000000,1.000000e-12
-0.230195,0.384189,0.000000,-8.164957,-4.719580,0.000000,1.000000e-12
-0.229562,0.384907,0.000000,-8.171723,-4.701714,0.000000,1.000000e-12
-0.228929,0.385625,0.000000,-8.178440,-4.683846,0.000000,1.000000e-12
-0.228295,0.386340,0.000000,-8.185102,-4.666013,0.000000,1.000000e-12
-0.227661,0.387053,0.000000,-8.191713,-4.648198,0.000000,1.000000e-12
-0.227026,0.387765,0.000000,-8.198273,-4.630407,0.000000,1.000000e-12
-0.226391,0.388474,0.000000,-8.204779,-4.612643,0.000000,1.000000e-12
-0.225755,0.389182,0.000000,-8.211227,-4.594905,0.000000,1.000000e-12
-0.225117,0.389889,0.000000,-8.217634,-4.577159,0.000000,1.000000e-12
-0.224480,0.390593,0.000000,-8.223984,-4.559454,0.000000,1.000000e-12
-0.223842,0.391296,0.000000,-8.230292,-4.541765,0.000000,1.000000e-12
-0.223204,0.391997,0.000000,-8.236543,-4.524104,0.000000,1.000000e-12
-0.222565,0.392697,0.000000,-8.242747,-4.506451,0.000000,1.000000e-12
-0.221925,0.393395,0.000000,-8.248899,-4.488829,0.000000,1.000000e-12
-0.221285,0.394091,0.000000,-8.254993,-4.471238,0.000000,1.000000e-12
-0.220644,0.394785,0.000000,-8.261046,-4.453650,0.000000,1.000000e-12
-0.220003,0.395478,0.000000,-8.267045,-4.436103,0.000000,1.000000e-12
-0.219361,0.396168,0.000000,-8.272992,-4.418583,0.000000,1.000000e-12
-0.218718,0.396859,0.000000,-8.278904,-4.401031,0.000000,1.000000e-12
-0.218075,0.397546,0.000000,-8.284755,-4.383546,0.000000,1.000000e-12
-0.217432,0.398231,0.000000,-8.290559,-4.366090,0.000000,1.000000e-12
-0.216788,0.398916,0.000000,-8.296317,-4.348639,0.000000,1.000000e-12
-0.216144,0.399599,0.000000,-8.302025,-4.331200,0.000000,1.000000e-12
-0.215498,0.400279,0.000000,-8.307685,-4.313799,0.000000,1.000000e-12
-0.214853,0.400959,0.000000,-8.313297,-4.296410,0.000000,1.000000e-12
-0.214207,0.401635,0.000000,-8.318859,-4.279069,0.000000,1.000000e-12
-0.213560,0.402312,0.000000,-8.324379,-4.261724,0.000000,1.000000e-12
-0.212913,0.402986,0.000000,-8.329846,-4.244402,0.000000,1.000000e-12
-0.212266,0.403659,0.000000,-8.335267,-4.227104,0.000000,1.000000e-12
-0.211618,0.404329,0.000000,-8.340645,-4.209850,0.000000,1.000000e-12
-0.210969,0.404998,0.000000,-8.345974,-4.192592,0.000000,1.000000e-12
-0.210320,0.405666,0.000000,-8.351255,-4.175366,0.000000,1.000000e-12
-0.209671,0.406332,0.000000,-8.356492,-4.158166,0.000000,1.000000e-12
-0.209021,0.406995,0.000000,-8.361679,-4.140993,0.000000,1.000000e-12
-0.208371,0.407658,0.000000,-8.366820,-4.123834,0.000000,1.000000e-12
-0.207720,0.408319,0.000000,-8.371922,-4.106695,0.000000,1.000000e-12
-0.207069,0.408978,0.000000,-8.376970,-4.089580,0.000000,1.000000e-12
-0.206417,0.409636,0.000000,-8.381976,-4.072503,0.000000,1.000000e-12
-0.205765,0.410292,0.000000,-8.386944,-4.055418,0.000000,1.000000e-12
-0.205112,0.410946,0.000000,-8.391861,-4.038383,0.000000,1.000000e-12
-0.204459,0.411599,0.000000,-8.396729,-4.021373,0.000000,1.000000e-12
-0.203806,0.412250,0.000000,-8.401551,-4.004370,0.000000,1.000000e-12
-0.203152,0.412899,0.000000,-8.406336,-3.987397,0.000000,1.000000e-12
-0.202498,0.413547,0.000000,-8.411075,-3.970447,0.000000,1.000000e-12
